type,amount,date
ORDER,280,2025-04-14 12:24:02.250417+00:00
ORDER,560,2025-04-14 12:43:10.686575+00:00
ORDER,50,2025-05-26 09:49:01.094219+00:00
SALE,600,2025-05-26 10:00:32.867156+00:00
SALE,300,2025-05-26 10:32:52.714581+00:00
SALE,150,2025-05-26 10:33:50.003607+00:00
SALE,150,2025-05-26 10:36:25.215371+00:00
SALE,300,2025-05-26 10:37:37.542423+00:00
ORDER,1000,2025-05-26 10:39:14.634180+00:00
SALE,150,2025-05-26 10:39:53.822948+00:00
SALE,150,2025-05-26 10:49:54.767393+00:00
SALE,150,2025-05-26 10:53:19.357335+00:00
SALE,600,2025-05-26 12:50:06.010075+00:00
SALE,450,2025-05-26 12:50:28.033290+00:00
